time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,0,0,0,0
2026-04-30 00:00:00+00:00,0,0,3,1
2026-05-01 00:00:00+00:00,0,0,5,1
2026-05-02 00:00:00+00:00,0,0,2,1
2026-05-03 00:00:00+00:00,4,2,0,0
2026-05-04 00:00:00+00:00,0,0,4,1
2026-05-05 00:00:00+00:00,43,10,9,1
2026-05-06 00:00:00+00:00,2,2,11,1
2026-05-07 00:00:00+00:00,1,1,0,0
2026-05-08 00:00:00+00:00,1,1,0,0
2026-05-09 00:00:00+00:00,0,0,1,1
2026-05-10 00:00:00+00:00,0,0,0,0
2026-05-11 00:00:00+00:00,1,1,3,2
2026-05-12 00:00:00+00:00,2,1,0,0
2026-05-13 00:00:00+00:00,38,13,7,1
2026-05-14 00:00:00+00:00,80,30,165,3
2026-05-15 00:00:00+00:00,13,8,6,2
2026-05-16 00:00:00+00:00,9,4,0,0
2026-05-17 00:00:00+00:00,18,5,1,1
2026-05-18 00:00:00+00:00,24,10,10,1
2026-05-19 00:00:00+00:00,28,8,0,0
2026-05-20 00:00:00+00:00,17,8,0,0
2026-05-21 00:00:00+00:00,14,7,0,0
2026-05-22 00:00:00+00:00,26,11,0,0
