time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,29,10,0,0
2026-06-15 00:00:00+00:00,21,5,2,1
2026-06-16 00:00:00+00:00,22,7,0,0
2026-06-17 00:00:00+00:00,27,10,3,1
2026-06-18 00:00:00+00:00,16,6,0,0
2026-06-19 00:00:00+00:00,62,14,0,0
2026-06-20 00:00:00+00:00,34,9,0,0
2026-06-21 00:00:00+00:00,18,5,0,0
2026-06-22 00:00:00+00:00,18,8,0,0
2026-06-23 00:00:00+00:00,9,4,0,0
2026-06-24 00:00:00+00:00,9,4,1,1
2026-06-25 00:00:00+00:00,145,17,17,1
2026-06-26 00:00:00+00:00,13,5,0,0
2026-06-27 00:00:00+00:00,20,6,0,0
